6024460 20181106 040000 1243 1
6024460 20181106 050000 1611 1
6024460 20181106 060000 3429 1
6024460 20181106 070000 5929 1
6024460 20181106 080000 7874 1
6024460 20181106 090000 9080 1
6024460 20181106 100000 9281 1
6024460 20181106 110000 8094 1
6024460 20181106 120000 6568 1
6024460 20181106 130000 4958 1
6024460 20181106 140000 3362 1
6024460 20181106 150000 2052 1
6024460 20181106 160000 1318 1
6024460 20181106 170000 1333 1
6024460 20181106 180000 2670 1
6024460 20181106 190000 5177 1
6024460 20181106 200000 7339 1
6024460 20181106 210000 8772 1
6024460 20181106 220000 9420 1
6024460 20181106 230000 8556 1
6024460 20181107 000000 7087 1
6024460 20181107 010000 5470 1
6024460 20181107 020000 3818 1
6024460 20181107 030000 2370 1
6024460 20181107 040000 1348 1
6024460 20181107 050000 1026 1
6024460 20181107 060000 1915 1
6024460 20181107 070000 4307 1
6024460 20181107 080000 6793 1
6024460 20181107 090000 8508 1
6024460 20181107 100000 9572 1
6024460 20181107 110000 9176 1
6024460 20181107 120000 7888 1
6024460 20181107 130000 6360 1
6024460 20181107 140000 4675 1
6024460 20181107 150000 3069 1
6024460 20181107 160000 1853 1
6024460 20181107 170000 1260 1
6024460 20181107 180000 1538 1
6024460 20181107 190000 3543 1
6024460 20181107 200000 6139 1
6024460 20181107 210000 7992 1
6024460 20181107 220000 9278 1
6024460 20181107 230000 9427 1
6024460 20181108 000000 8203 1
6024460 20181108 010000 6689 1
6024460 20181108 020000 4977 1
6024460 20181108 030000 3306 1
6024460 20181108 040000 1951 1
6024460 20181108 050000 1123 1
6024460 20181108 060000 1080 1
6024460 20181108 070000 2439 1
6024460 20181108 080000 5074 1
6024460 20181108 090000 7346 1
6024460 20181108 100000 8833 1
6024460 20181108 110000 9560 1
6024460 20181108 120000 8652 1
6024460 20181108 130000 7127 1
6024460 20181108 140000 5490 1
6024460 20181108 150000 3795 1
6024460 20181108 160000 2316 1
6024460 20181108 170000 1287 1
6024460 20181108 180000 951 1
6024460 20181108 190000 1701 1
6024460 20181108 200000 4085 1
6024460 20181108 210000 6621 1
6024460 20181108 220000 8352 1
6024460 20181108 230000 9414 1
6024460 20181109 000000 9013 1
6024460 20181109 010000 7527 1
6024460 20181109 020000 5927 1
6024460 20181109 030000 4274 1
6024460 20181109 040000 2762 1
6024460 20181109 050000 1600 1
6024460 20181109 060000 1084 1
6024460 20181109 070000 1419 1
6024460 20181109 080000 3374 1
6024460 20181109 090000 6001 1
6024460 20181109 100000 7977 1
6024460 20181109 110000 9235 1
6024460 20181109 120000 9413 1
6024460 20181109 130000 8126 1
6024460 20181109 140000 6556 1
6024460 20181109 150000 4885 1
6024460 20181109 160000 3264 1
6024460 20181109 170000 1927 1
6024460 20181109 180000 1149 1
6024460 20181109 190000 1217 1
6024460 20181109 200000 2775 1
6024460 20181109 210000 5429 1
6024460 20181109 220000 7531 1
6024460 20181109 230000 8890 1
6024460 20181110 000000 9462 1
6024460 20181110 010000 8444 1
6024460 20181110 020000 7056 1
6024460 20181110 030000 5466 1
6024460 20181110 040000 3795 1
6024460 20181110 050000 2429 1
6024460 20181110 060000 1497 1
